Kitap Adı,Yazar,Puan,Türler,Çevirmen,Okunma Sayısı,Begeni Sayısı,Bkmkitap,Kitapyurdu,Erkek,Kadın,Tahmini Okuma Süresi,Sayfa Sayısı,Basım Tarihi,İlk Yayın Tarihi,Yayınevi,Editör,Tasarımcı,Derleyen,Çizer
Kürk Mantolu Madonna,Sabahattin Ali,8.7,"['Roman', 'Aşk', 'Edebiyat', 'Türk Klasikleri']",,320000,86400,22.75,18.75,28.200000000000003,71.8,272,160,2021,1934,Yapı Kredi Yayınları,,,,
Hayvan Çiftliği,George Orwell,8.5,"['Roman', 'Dünya Klasikleri', 'Siyaset-Politika', 'Edebiyat', 'Eleştiri-Kuram', 'Sosyoloji']",Celal Üster,251000,54900,48.75,38.61,32.3,67.7,258,152,2020,1945,Can Yayınları,,,,
Satranç,Stefan Zweig,8.2,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Novella']",Ahmet Cemal,241000,51100,12.0,15.44,30.400000000000006,69.6,141,83,2020,1941,Türkiye İş Bankası Kültür Yayınları,Ruken Kızıler,,,
Küçük Prens,Antoine de Saint-Exupéry,8.9,"['Çocuk', 'Dünya Klasikleri', 'Edebiyat', 'Fantastik', 'Roman']",Tomris Uyar,239000,55300,39.0,47.13,23.299999999999997,76.7,190,112,2015,1943,Can Çocuk  Yayınları,,,,
Şeker Portakalı,José Mauro de Vasconcelos,9.0,"['Roman', 'Dünya Klasikleri', 'Çocuk', 'Edebiyat']",Aydın Emeç,234000,57200,78.0,87.03,22.900000000000006,77.1,313,184,2022,1968,Can Yayınları,,,,
Bilinmeyen Bir Kadının Mektubu,Stefan Zweig,7.9,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Aşk', 'Edebiyat', 'Kadın']",Ahmet Cemal,229000,45000,9.03,6.33,18.799999999999997,81.2,116,68,2022,1922,Türkiye İş Bankası Kültür Yayınları,Ruken Kızıler,,,
Dönüşüm,Franz Kafka,7.7,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Fantastik', 'Edebiyat']",Gülperi Sert,227000,41400,19.5,20.15,28.799999999999997,71.2,126,74,2022,1915,Türkiye İş Bankası Kültür Yayınları,,,,
Simyacı,Paulo Coelho,8.2,"['Roman', 'Edebiyat']",Özdemir İnce,210000,46500,90.0,87.02,28.799999999999997,71.2,320,188,2023,1988,Can Yayınları,,Ayşe Çelem,,
İnsan Neyle Yaşar?,Lev Tolstoy,8.4,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Koray Karasulu,196000,37000,18.2,21.7,28.599999999999994,71.4,163,96,2019,1885,Türkiye İş Bankası Kültür Yayınları,,,,
Kuyucaklı Yusuf,Sabahattin Ali,8.4,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,177000,35500,26.0,22.9,31.599999999999994,68.4,377,222,2021,1937,Yapı Kredi Yayınları,Ayfer Tunç,,,
Fareler ve İnsanlar,John Steinbeck,8.5,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Belkıs Çorakçı Dişbudak,175000,36700,48.75,62.15,26.799999999999997,73.2,190,112,2023,1937,Sel Yayıncılık,,Gülay Tunç,,
İçimizdeki Şeytan,Sabahattin Ali,8.2,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,175000,37800,7.8,9.9,25.299999999999997,74.7,435,256,2019,1940,Yapı Kredi Yayınları,,,,
1984,George Orwell,8.6,"['Roman', 'Dünya Klasikleri', 'Siyaset-Politika', 'Bilim-Kurgu', 'Edebiyat']",Celal Üster,169000,40900,74.75,55.01,38.7,61.3,598,352,2023,1938,Can Yayınları,,,,
Uçurtma Avcısı,Khaled Hosseini,9.1,"['Roman', 'Edebiyat']",Püren Özgören,167000,43300,178.75,173.75,25.700000000000003,74.3,638,375,2024,2003,Everest Yayınları,,Utku Lomlu,,
Suç ve Ceza,Fyodor Dostoyevski,9.1,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Mazlum Beyhan,163000,43100,104.0,100.75,37.2,62.8,1168,687,2022,1866,Türkiye İş Bankası Kültür Yayınları,,,,
Olağanüstü Bir Gece,Stefan Zweig,7.4,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",İlknur İgan,146000,23900,20.8,20.15,24.099999999999994,75.9,117,69,2023,1922,Türkiye İş Bankası Kültür Yayınları,,,,
Serenad,Zülfü Livaneli,8.9,"['Edebiyat', 'Roman']",,139000,35900,172.8,29.87,21.400000000000006,78.6,818,481,2020,2011,Doğan Kitap,,,,
Yeraltından Notlar,Fyodor Dostoyevski,8.3,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Nihal Yalaza Taluy,131000,28000,27.3,27.9,32.400000000000006,67.6,238,140,2020,1863,Türkiye İş Bankası Kültür Yayınları,Müge Karalom,,,
Bir Kadının Yaşamından Yirmi Dört Saat,Stefan Zweig,7.6,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Mahmure Kahraman,129000,21100,13.0,20.15,20.400000000000006,79.6,121,71,2020,1925,Türkiye İş Bankası Kültür Yayınları,,,,
"""Genç Wertherin Acıları""",Johann Wolfgang Von Goethe,7.8,"['Roman', 'Dünya Klasikleri', 'Aşk', 'Edebiyat', 'Anı-Mektup-Günlük']",Mahmure Kahraman,123000,23600,22.1,26.35,22.0,78.0,214,126,2021,1774,Türkiye İş Bankası Kültür Yayınları,Alkan İnal,,,
Bir İdam Mahkûmunun Son Günü,Victor Hugo,8.1,"['Dünya Klasikleri', 'Tarih', 'Edebiyat', 'Novella']",Volkan Yalçıntoklu,123000,23800,26.0,23.25,26.299999999999997,73.7,204,120,2023,1829,Türkiye İş Bankası Kültür Yayınları,,,,
Yabancı,Albert Camus,8.2,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Samih Tiryakioğlu,114000,23300,51.0,31.32,32.5,67.5,190,112,2019,1942,Can Yayınları,,Utku Lomlu,,
Amok Koşucusu,Stefan Zweig,7.8,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Novella']",Nafer Ermiş,113000,20200,22.1,21.7,27.5,72.5,102,60,2021,1922,Türkiye İş Bankası Kültür Yayınları,,,,
Kardeşimin Hikayesi,Zülfü Livaneli,8.7,"['Roman', 'Edebiyat']",,107000,24400,33.17,20.8,18.900000000000006,81.1,561,330,2019,2013,Doğan Kitap,,,,
Körlük,José Saramago,8.4,"['Roman', 'Edebiyat']",Işık Ergüden,106000,25600,120.0,78.75,26.200000000000003,73.8,563,331,2022,1995,Kırmızı Kedi,,,,
Korku,Stefan Zweig,8.2,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",İlknur İgan,105000,20400,16.9,20.15,21.5,78.5,119,70,2022,1910,Türkiye İş Bankası Yayınları,Gamze Varım,,,
Dokuzuncu Hariciye Koğuşu,Peyami Safa,8.2,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,104000,17900,21.0,25.98,24.400000000000006,75.6,190,112,2022,0,Ötüken Neşriyat,,,,
Çalıkuşu,Reşat Nuri Güntekin,9.0,"['Aşk', 'Edebiyat', 'Roman', 'Türk Klasikleri']",,103000,22300,284.4,,18.700000000000003,81.3,925,544,2019,1957,İnkılâp Kitabevi,,Sayat Ayık,,
Bin Muhteşem Güneş,Khaled Hosseini,9.1,"['Edebiyat', 'Roman']",Püren Özgören,102000,24700,178.75,173.25,16.599999999999994,83.4,731,430,2020,2007,Everest Yayınları,,,,
Beyaz Zambaklar Ülkesi,Grigory Petrov,8.6,"['Roman', 'Dünya Klasikleri', 'Siyaset-Politika', 'Tarih', 'Edebiyat']",Sabri Gürses,101000,22800,75.0,8.13,37.0,63.0,354,208,2017,1923,Ayrıntı Yayınları,,,,
Huzursuzluk,Zülfü Livaneli,8.3,"['Edebiyat', 'Roman']",,101000,21100,16.77,15.0,29.400000000000006,70.6,272,160,2017,0,Doğan Kitap,,,,
Martin Eden,Jack London,9.1,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Levent Cinemre,95000,26900,65.0,69.75,26.400000000000006,73.6,879,517,2023,1908,Türkiye İş Bankası Kültür Yayınları,,,,
Otomatik Portakal,Anthony Burgess,7.8,"['Bilim-Kurgu', 'Dünya Klasikleri', 'Edebiyat', 'Roman']",Dost Körpe,94100,18300,37.7,28.43,29.0,71.0,292,172,2009,1962,Türkiye İş Bankası Kültür Yayınları,,,,
Fahrenheit 451,Ray Bradbury,7.8,"['Roman', 'Bilim-Kurgu', 'Edebiyat']",Dost Körpe,91100,20200,108.0,108.2,32.599999999999994,67.4,343,202,2022,1953,İthaki Yayınları,,,,
Sefiller (2 Cilt Takım),Victor Hugo,9.3,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Volkan Yalçıntoklu,89100,21600,195.0,186.0,35.7,64.3,2931,1724,2024,1862,Türkiye İş Bankası Kültür Yayınları,,,,
Olasılıksız,Adam Fawer,8.6,"['Roman', 'Bilim-Kurgu', 'Edebiyat']",Ayşe Şirin Okyayuz,87200,20500,224.25,103.56,36.4,63.6,840,494,2023,2005,April Yayıncılık,,,,
Sineklerin Tanrısı,William Golding,7.7,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Mina Urgan,82100,16500,57.2,43.9,30.5,69.5,444,261,2020,1954,Türkiye İş Bankası Kültür Yayınları,Ruken Kızıler,,,
Sol Ayağım,Christy Brown,8.4,"['Biyografi', 'Edebiyat', 'Roman']",Filiz Kahraman,80100,14900,119.4,42.12,19.700000000000003,80.3,326,192,2017,1954,Nemesis Kitap,,,,
Veronika Ölmek İstiyor,Paulo Coelho,8.1,"['Edebiyat', 'Roman']",Haldun Pamir,80000,16900,126.75,89.78,14.700000000000003,85.3,367,216,2020,1998,Can Yayınları,,,,
Kırmızı Pazartesi,Gabriel Garcia Marquez,7.4,"['Roman', 'Edebiyat']",İnci Kut,79400,14300,97.5,71.9,25.799999999999997,74.2,190,112,2021,1984,Can Yayınları,,,,
Bir Çöküşün Öyküsü,Stefan Zweig,7.5,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Regaip Minareci,78800,12200,20.8,20.15,18.900000000000006,81.1,82,48,2021,1910,İş Bankası Kültür Yayınları,Gamze Varım,,,
Beyaz Diş,Jack London,8.5,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Levent Cinemre,78300,14900,37.7,40.3,35.7,64.3,439,258,2020,1906,Türkiye İş Bankası Kültür Yayınları,Ruken Kızıler,,,
Gurur ve Önyargı,Jane Austen,8.3,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Hamdi Koç,78100,18900,68.25,58.9,12.599999999999994,87.4,670,394,2023,1813,Türkiye İş Bankası Kültür Yayınları,,,,
Beyaz Geceler,Fyodor Dostoyevski,7.9,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Novella']",Barış Zeren,76800,14600,31.2,32.55,28.599999999999994,71.4,371,218,2020,1848,Türkiye İş Bankası Kültür Yayınları,,,,
"""Dorian Grayin Portresi""",Oscar Wilde,8.5,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Nihal Yeğinobalı,75600,18800,10.4,9.9,24.799999999999997,75.2,476,280,2018,1890,Can Yayınları,,,,
Bülbülü Öldürmek,Harper Lee,8.4,"['Dünya Klasikleri', 'Edebiyat', 'Roman', 'Tarih']",Ülker İnce,73700,17200,101.1,115.25,26.799999999999997,73.2,604,355,2014,1960,Sel Yayınları,Bilge Sancı,,,
Beyaz Gemi,Cengiz Aytmatov,8.3,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Refik Özdek,71900,13700,49.0,47.95,29.200000000000003,70.8,286,168,2018,1957,Ötüken Neşriyat,,,,
Ermiş,Halil Cibran,8.0,"['Dünya Klasikleri', 'Felsefe-Düşünce', 'Edebiyat', 'İnsan ve Toplum']",Ayşe Berktay,71800,14600,16.9,18.6,27.200000000000003,72.8,94,55,2023,1923,Türkiye İş Bankası Kültür Yayınları,,,,
Altıncı Koğuş,Anton Çehov,8.1,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Yulva Muhurçişi,71800,14800,22.1,20.15,26.400000000000006,73.6,116,68,2022,1982,Türkiye İş Bankası Kültür Yayınları,,,,
Kumarbaz,Fyodor Dostoyevski,7.9,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Koray Karasulu,70700,13000,40.3,34.1,38.0,62.0,301,177,2023,1866,Türkiye İş Bankası Kültür Yayınları,,,,
Ay Işığı Sokağı,Stefan Zweig,7.2,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Regaip Minareci,68800,9900,19.5,18.6,21.099999999999994,78.9,126,74,2021,1922,Türkiye İş Bankası Kültür Yayınları,Gamze Varım,,,
Martı Jonathan Livingston,Richard Bach,8.1,"['Roman', 'Edebiyat']",Kader Ay,68300,13400,73.5,38.61,27.299999999999997,72.7,163,96,2011,1970,Epsilon Yayınları,,,,
Aşk,Elif Şafak,8.0,"['Aşk', 'Edebiyat', 'Roman', 'Tarih']",Kadir Yiğit Us,68200,13700,257.4,218.3,22.700000000000003,77.3,714,420,2009,0,Doğan Kitap,,,,
Momo,Michael Ende,8.4,"['Roman', 'Fantastik', 'Edebiyat', 'Gençlik']",Leman Çalışkan,67400,15800,136.95,137.05,19.0,81.0,517,304,2017,0,Pegasus Yayınları,,,,
İnsancıklar,Fyodor Dostoyevski,8.0,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Sabri Gürses,63600,12500,71.5,61.63,32.5,67.5,313,184,2023,1846,Can Yayınları,Faruk Duman,Utku Lomlu,,
Mecburiyet,Stefan Zweig,8.0,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Gülperi Sert,63300,12000,15.6,18.6,29.599999999999994,70.4,85,50,2021,1929,Türkiye İş Bankası Kültür Yayınları,Gamze Varım,,,
Tutunamayanlar,Oğuz Atay,8.8,"['Edebiyat', 'Roman']",,63200,23100,316.0,265.05,33.599999999999994,66.4,1231,724,2020,1971,İletişim Yayınları,,Ümit Kıvanç,,
Toprak Ana,Cengiz Aytmatov,8.8,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Refik Özdek,62900,13600,49.0,45.24,30.599999999999994,69.4,231,136,2022,1963,Ötüken Neşriyat,,,,
Semerkant,Amin Maalouf,8.2,"['Edebiyat', 'Roman', 'Tarih']",Ali Berktay,62800,14600,117.0,80.08,39.5,60.5,541,318,2020,2004,Yapı Kredi Yayınları,Korkut Erdur,Nahide Dikel,,
Romeo ve Juliet,William Shakespeare,8.0,"['Dünya Klasikleri', 'Aşk', 'Edebiyat', 'Tiyatro', 'Senaryo-Oyun']",Özdemir Nutku,62000,12800,28.6,23.25,27.0,73.0,226,133,2024,1597,Türkiye İş Bankası Kültür Yayınları,,,Müge Karalom,
Cesur Yeni Dünya,Aldous Huxley,7.8,"['Roman', 'Dünya Klasikleri', 'Bilim-Kurgu', 'Edebiyat']",Ümit Tosun,61500,13600,117.0,117.2,32.599999999999994,67.4,462,272,2021,1932,İthaki Yayınları,,,,
Aylak Adam,Yusuf Atılgan,7.8,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,60900,12800,120.25,93.2,31.400000000000006,68.6,326,192,2019,1959,Can Yayınları,,,,
İki Şehrin Hikâyesi,Charles Dickens,8.4,"['Roman', 'Dünya Klasikleri', 'Tarih', 'Edebiyat']",Meram Arvas,60500,13300,107.25,87.0,29.5,70.5,789,464,2023,1857,Can Yayınları,Seçkin Selvi,,,
Çavdar Tarlasında Çocuklar,J. D. Salinger,6.6,"['Roman', 'Dünya Klasikleri', 'Edebiyat', 'Gençlik']",Coşkun Yerli,60400,9700,55.25,47.6,26.700000000000003,73.3,337,198,2021,1951,Yapı Kredi Yayınları,,,,
İnce Memed 1,Yaşar Kemal,9.3,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,59300,15600,195.0,157.86,32.599999999999994,67.4,745,438,2023,1962,Yapı Kredi Yayınları,,,,
Gece Yarısı Kütüphanesi,Matt Haig,8.2,"['Roman', 'Edebiyat']",Kıvanç Güney,58700,12600,135.8,106.72,14.5,85.5,479,282,2021,2020,Domingo Yayınevi,,,,
Sırça Köşk,Sabahattin Ali,7.8,"['Hikaye (Öykü)', 'Edebiyat', 'Türk Klasikleri']",,57800,10600,22.75,20.34,31.099999999999994,68.9,240,141,2020,1947,Yapı Kredi Yayınları,,,,
Bir Delinin Anı Defteri - Palto - Burun - Petersburg Öyküleri ve Fayton,Nikolay Gogol,7.7,"['Dünya Klasikleri', 'Edebiyat', 'Hikaye (Öykü)']",Mazlum Beyhan,56700,10000,36.4,34.1,30.099999999999994,69.9,381,224,2019,1835,Türkiye İş Bankası Kültür Yayınları,,,,
Bir Ömür Nasıl Yaşanır?,İlber Ortaylı,7.9,"['Edebiyat', 'Kişisel Gelişim', 'Söyleşi-Röportaj']",,56200,12800,126.75,65.79,35.099999999999994,64.9,490,288,2020,0,Kronik Kitap,,,,
"""Milenaya Mektuplar""",Franz Kafka,7.4,"['Dünya Klasikleri', 'Edebiyat', 'Anı-Mektup-Günlük']",Esen Tezel,55900,10900,110.5,90.63,21.200000000000003,78.8,680,400,2023,1952,Can Yayınları,Şebnem Sunar,,,
Denemeler,Montaigne,8.5,"['Dünya Klasikleri', 'Felsefe-Düşünce', 'Edebiyat', 'Deneme-İnceleme', 'İnsan ve Toplum']",Sabahattin Eyüboğlu,55700,11900,58.5,49.6,34.599999999999994,65.4,534,314,2020,1580,Türkiye İş Bankası Kültür Yayınları,,,,
Dava,Franz Kafka,7.5,"['Roman', 'Dünya Klasikleri', 'Felsefe-Düşünce', 'Edebiyat', 'İnsan ve Toplum']",Gülperi Sert,54500,9500,37.7,35.65,34.099999999999994,65.9,381,224,2021,1925,Türkiye İş Bankası Kültür Yayınları,Gamze Varım,Birol Bayram,,
Harry Potter ve Felsefe Taşı,J. K. Rowling (Robert Galbraith),9.1,"['Roman', 'Fantastik', 'Edebiyat', 'Gençlik']",Ülkü Tamer,54100,13200,117.0,104.41,26.099999999999994,73.9,462,272,2020,1997,Yapı Kredi Yayınları,Ayça Sabuncuoğlu,,,
Nietzsche Ağladığında,Irvin D. Yalom,9.2,"['Roman', 'Tarih', 'Felsefe-Düşünce', 'Psikoloji', 'Edebiyat']",Esra Birkan,54000,15500,210.0,178.2,25.5,74.5,731,430,2024,1992,Ayrıntı Yayınları,Müge Karalom,Sevinç Altan,,
"""Sokratesin Savunması""",Platon (Eflatun),8.4,"['Dünya Klasikleri', 'Siyaset-Politika', 'Tarih', 'Felsefe-Düşünce']",Ari Çokona,54000,10400,29.9,35.65,38.4,61.6,340,200,2023,400,Türkiye İş Bankası Kültür Yayınları,Koray Karasulu,,,
Son Ada,Zülfü Livaneli,8.6,"['Roman', 'Edebiyat']",,52300,11800,23.89,17.53,27.299999999999997,72.7,333,196,2013,2009,Doğan Kitap,,,,
Kırmızı Saçlı Kadın,Orhan Pamuk,7.7,"['Roman', 'Aşk', 'Edebiyat']",,51400,9100,61.75,90.22,20.799999999999997,79.2,359,211,2024,2016,Yapı Kredi Yayınları,,,,
Puslu Kıtalar Atlası,İhsan Oktay Anar,8.6,"['Edebiyat', 'Fantastik', 'Roman']",,49400,12800,156.0,107.79,33.8,66.2,405,238,2020,0,İletişim Yayınları,Sait Kızılırmak,,,
Fatih Harbiye,Peyami Safa,7.8,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,48600,7300,19.2,32.0,26.099999999999994,73.9,218,128,2020,1997,Ötüken Neşriyat,,,,
Sergüzeşt,Samipaşazade Sezai,7.6,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,47100,6400,52.5,9.1,22.099999999999994,77.9,204,120,2016,1887,Bilge Kültür Sanat,,,,
"""İvan İlyiçin Ölümü""",Lev Tolstoy,8.1,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat', 'Novella']",Mazlum Beyhan,46900,9100,23.4,20.15,28.099999999999994,71.9,141,83,2022,1886,Türkiye İş Bankası Kültür Yayınları,,,,
Gün Olur Asra Bedel,Cengiz Aytmatov,8.5,"['Roman', 'Edebiyat']",Refik Özdek,46600,9900,94.5,101.79,30.0,70.0,702,413,2021,1980,Ötüken Neşriyat,,,,
Da Vinci Şifresi,Dan Brown,8.7,"['Roman', 'Edebiyat', 'Macera-Aksiyon']",Petek Demir,46500,9900,319.55,269.53,38.4,61.6,842,495,2003,2003,Altın Kitaplar,,,,
Hamlet,William Shakespeare,8.5,"['Dünya Klasikleri', 'Edebiyat', 'Tiyatro', 'Senaryo-Oyun']",Sabahattin Eyüboğlu,46300,9800,33.8,34.1,31.5,68.5,306,180,2023,1604,Türkiye İş Bankası Kültür Yayınları,Müge Karalom,,,
Değirmen,Sabahattin Ali,7.6,"['Hikaye (Öykü)', 'Edebiyat', 'Türk Klasikleri']",,45900,7900,9.44,9.9,30.099999999999994,69.9,238,140,2021,1935,Yapı Kredi Yayınları,,,,
Babalar ve Oğullar,Ivan Turgenyev,8.2,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Ergin Altay,45800,8800,39.0,38.75,39.5,60.5,449,264,2021,1862,Türkiye İş Bankası Kültür Yayınları,Alkan İnal,,,
Yaban,Yakup Kadri Karaosmanoğlu,8.4,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,45300,7500,134.4,117.85,33.099999999999994,66.9,364,214,2021,0,İletişim Yayınları,,,,
Piraye,Canan Tan,8.1,"['Roman', 'Edebiyat']",,45000,7300,206.7,175.3,10.700000000000003,89.3,733,431,2013,2003,Altın Kitaplar,,,,
Vadideki Zambak,Honore de Balzac,7.7,"['Roman', 'Dünya Klasikleri', 'Aşk', 'Edebiyat']",Volkan Yalçıntoklu,43500,7500,42.9,48.75,26.599999999999994,73.4,542,319,2022,1835,Türkiye İş Bankası Kültür Yayınları,,,,
Uğultulu Tepeler,Emily Brontë,8.1,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Naciye Öncül,43400,9700,17.5,9.0,12.700000000000003,87.3,850,500,2012,1847,Martı Yayınları,,,,
Yakıcı Sır,Stefan Zweig,7.8,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",İlknur İgan,43000,7300,23.4,20.15,25.200000000000003,74.8,150,88,2020,1913,Türkiye İş Bankası Kültür Yayınları,Gamze Varım,,,
Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,8.3,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,42700,10800,240.0,208.0,33.900000000000006,66.1,649,382,2023,1961,Dergah Yayınları,,,,
Masumiyet Müzesi,Orhan Pamuk,8.0,"['Roman', 'Edebiyat']",,42700,9100,188.5,164.7,22.299999999999997,77.7,884,520,2022,2008,Yapı Kredi Yayınları,Darmin Hadzibegovic,,,
Fedailerin Kalesi Alamut,Vladimir Bartol,8.9,"['Edebiyat', 'Roman', 'Tarih']",Ender Nail,42400,11000,133.0,117.82,43.2,56.8,867,510,2012,1938,Koridor Yayıncılık,,,,
Od,İskender Pala,8.6,"['Roman', 'Tarih', 'Edebiyat']",,42400,8600,146.25,155.25,31.200000000000003,68.8,614,361,2022,2011,Kapı Yayınları,,Utku Lomlu,,
Babaya Mektup,Franz Kafka,7.7,"['Edebiyat', 'Anı-Mektup-Günlük']",Regaip Minareci,41800,7500,12.0,17.05,24.299999999999997,75.7,97,57,2022,1919,Türkiye İş Bankası Kültür Yayınları,,,,
Aklından Bir Sayı Tut,John Verdon,8.4,"['Roman', 'Polisiye', 'Edebiyat']",Ender Nail,41700,8000,133.0,117.82,30.599999999999994,69.4,801,471,2023,2010,Koridor Yayıncılık,Zübeyde Abat,,,
Anna Karenina,Lev Tolstoy,8.6,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Ayşe Hacıhasanoğlu,40900,10100,84.5,131.75,26.599999999999994,73.4,1805,1062,2023,1878,Türkiye İş Bankası Yayınları,,,,
Hasretinden Prangalar Eskittim,Ahmed Arif,8.6,"['Edebiyat', 'Şiir']",,40800,9700,115.2,105.36,34.400000000000006,65.6,313,184,2017,1968,Metis Yayınları,,,,
Eylül,Mehmet Rauf,7.5,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,40600,6000,58.1,5.94,21.599999999999994,78.4,621,365,2017,1901,İnkılap Kitabevi,,,,
Harry Potter ve Sırlar Odası,J. K. Rowling (Robert Galbraith),9.1,"['Roman', 'Fantastik', 'Edebiyat', 'Gençlik']",Sevin Okyay,40600,8900,149.5,122.53,22.200000000000003,77.8,534,314,2019,1998,Yapı Kredi Yayınları,Ayça Sabuncuoğlu,,,
Acımak,Reşat Nuri Güntekin,8.9,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,40500,8000,115.2,,20.900000000000006,79.1,270,159,2021,1928,İnkılâp Kitabevi,,,,
İntibah,Namık Kemal,7.7,"['Roman', 'Edebiyat', 'Türk Klasikleri']",,40400,5700,31.2,32.55,23.099999999999994,76.9,241,142,2021,1874,Türkiye İş Bankası Kültür Yayınları,,,,
Oblomov,İvan Gonçarov,9.0,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Erol Güney,40400,12100,26.4,58.44,30.799999999999997,69.2,1057,622,2021,1945,Türkiye İş Bankası Kültür Yayınları,,,,
Çizgili Pijamalı Çocuk,John Boyne,8.9,"['Roman', 'Çocuk', 'Tarih', 'Edebiyat', 'Gençlik']",Tülin Törüner,40200,9400,186.75,146.94,14.900000000000006,85.1,337,198,2021,2006,Tudem Yayınları,Rukiye Düzçay,,,
Savaş Sanatı,Sun Tzu,7.6,"['Dünya Klasikleri', 'Felsefe-Düşünce']",Pulat Otkan,39900,6700,18.2,18.6,48.0,52.0,73,43,2020,0,Türkiye İş Bankası Kültür Yayınları,,,,
Böğürtlen Kışı,Sarah Jio,8.6,"['Roman', 'Aşk', 'Edebiyat']",Duygu Parsadan,39300,8300,355.0,88.55,12.099999999999994,87.9,612,360,2011,0,Arkadya Yayınları,,,,
Kendine Ait Bir Oda,Virginia Woolf,8.0,"['Dünya Klasikleri', 'Edebiyat', 'Deneme-İnceleme', 'Kadın']",Suğra Öncü,38900,7700,68.06,65.82,13.200000000000003,86.8,216,127,2021,1929,İletişim Kitabevi,,,,
İnci,John Steinbeck,8.1,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Tomris Uyar,38800,7700,63.0,72.19,27.400000000000006,72.6,173,102,2023,1947,Sel Yayıncılık,,,,
Siddhartha,Hermann Hesse,8.0,"['Roman', 'Felsefe-Düşünce', 'Edebiyat', 'Diğer İnançlar']",Kamuran Şipal,38800,9000,107.25,72.57,29.799999999999997,70.2,252,148,2020,1922,Can Yayınları,,Ayşe Çelem,,
Böyle Söyledi Zerdüşt,Friedrich Nietzsche,8.4,"['Roman', 'Dünya Klasikleri', 'Felsefe-Düşünce', 'Edebiyat', 'İnsan ve Toplum']",Mustafa Tüzel,38800,9000,58.5,49.6,41.5,58.5,570,335,2020,1871,Türkiye İş Bankası Kültür Yayınları,,,,
Palto,Nikolay Gogol,8.3,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Derya Öztürk,37800,7400,9.6,3.0,34.400000000000006,65.6,122,72,2017,0,Tutku Yayınevi,,,,
"""Sofienin Dünyası""",Jostein Gaarder,8.6,"['Roman', 'Tarih', 'Felsefe-Düşünce', 'Edebiyat']",Sabir Yücesoy,37400,9200,390.5,302.0,38.6,61.4,1006,592,2020,1995,Pan Yayıncılık,,,,
Yüzyıllık Yalnızlık,Gabriel Garcia Marquez,8.0,"['Roman', 'Edebiyat']",Seçkin Selvi,37200,8800,240.5,167.48,33.7,66.3,789,464,2024,1974,Can Yayınları,,Ayşe Çelem,,
