Kitap Adı,Yazar,Puan,Türler,Çevirmen,Okunma Sayısı,Begeni Sayısı,Bkmkitap,Kitapyurdu,Erkek,Kadın,Tahmini Okuma Süresi,Sayfa Sayısı,Basım Tarihi,İlk Yayın Tarihi,Yayınevi,Editör,Tasarımcı,Derleyen,Çizer
Yatak Odasında Felsefe,Marquis de Sade,6.8,"['Edebiyat', 'Felsefe-Düşünce', 'Roman', 'Yeraltı Edebiyatı']",Kerim Sadi,2211,408,117.0,,55.5,44.5,381,224,2018,1795,Ayrıntı Yayınları,,,,
Her Şeyin Sonundayım,Ferit Edgü,8.5,"['Anı-Mektup-Günlük', 'Edebiyat']",,2211,563,61.2,,30.700000000000003,69.3,189,111,2013,0,Sel Yayıncılık,,,,
Bir Yeryüzü Tanığı,İlhan Berk,7.5,"['Edebiyat', 'Şiir']",,2211,375,52.0,48.4,30.400000000000006,69.6,190,112,2016,0,Yapı Kredi Yayınları,,,,
İnternet Fıkhı,Nureddin Yıldız,9.2,['Din (İslam)'],,2210,662,85.2,42.35,25.599999999999994,74.4,340,200,2018,0,Tahlil Yayınları,,,,
"İşin Aslı, Judit ve Sonrası",Sandor Marai,8.3,"['Edebiyat', 'Roman']",Esen Tezel,2212,578,146.25,135.2,10.900000000000006,89.1,524,308,2019,2012,Yapı Kredi Yayınları,Devrim Çakır,Davut Yücel,,
İslam,Sezai Karakoç,8.9,"['Din (İslam)', 'Felsefe-Düşünce', 'İnsan ve Toplum']",,2209,592,30.4,40.4,28.900000000000006,71.1,170,100,2019,2017,Diriliş Yayınları,,,,
Parayı Bulduğum An Alayını,Erdal Demirkıran,8.0,"['Roman', 'Edebiyat']",,2208,457,6.37,,35.2,64.8,417,245,2018,2011,Kashna Kitap Ağacı,,,,
Yukarı Mahalle,John Steinbeck,7.9,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Püren Özgören,2208,500,84.0,95.36,41.0,59.0,326,192,2018,0,Sel Yayıncılık,,,,
Dizboyu Papatyalar,Tomris Uyar,7.3,"['Hikaye (Öykü)', 'Edebiyat']",,2207,389,35.0,33.0,21.0,79.0,136,80,2022,1973,Yapı Kredi Yayınları,,,,
Ahlakın Soykütüğü Üstüne,Friedrich Nietzsche,8.5,['Felsefe-Düşünce'],Ahmet İnam,2206,434,45.5,,61.6,38.4,313,184,2023,2001,Say Yayınları,,,,
Şeffaflık Toplumu,Byung-Chul Han,8.4,"['Araştırma-İnceleme', 'Felsefe-Düşünce', 'Sosyoloji']",Haluk Barışcan,2206,525,83.2,77.16,39.6,60.4,143,84,2017,2012,Metis Yayıncılık,,,,
Travma,Wulf Dorn,8.0,"['Roman', 'Edebiyat', 'Korku-Gerilim']",Regaip Minareci,2205,486,220.0,220.2,17.0,83.0,558,328,2017,2017,Pegasus Yayınları,,,,
Mahşer,Peyami Safa,8.5,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,2204,470,56.1,85.0,41.4,58.6,544,320,2020,1977,Ötüken Yayınları,,,,
Mucizeler Yağarken,Kristin Hannah,7.9,"['Aşk', 'Edebiyat', 'Roman']",Tüvana Zararsız,2204,516,164.45,156.98,4.900000000000006,95.1,462,272,2015,2005,Pegasus Yayınları,,,,
Karanlık Taç,Sarah J. Maas,8.6,"['Roman', 'Fantastik', 'Edebiyat']",Deniz Başkaya,2204,640,19.1,19.73,3.5999999999999943,96.4,850,500,2015,2013,Dex Yayınları,,,,
Kadın,Yılmaz Özdil,8.7,"['Deneme-İnceleme', 'Kadın', 'Siyaset-Politika']",,2203,574,,,29.700000000000003,70.3,626,368,2018,2015,Kırmızı Kedi Yayınları,,,,
Şıpsevdi,Hüseyin Rahmi Gürpınar,7.8,"['Edebiyat', 'Roman', 'Türk Klasikleri']",,2203,410,243.75,13.19,26.799999999999997,73.2,762,448,2014,1911,Özgür Yayınları,,,,
Lanetli Tavşan,Bora Chung,7.9,"['Hikaye (Öykü)', 'Fantastik', 'Bilim-Kurgu', 'Edebiyat', 'Korku-Gerilim']",Sevda Kul,2199,480,132.0,138.6,14.400000000000006,85.6,394,232,2023,2017,İthaki Yayınları,,,,
Bir Pırıltıdır Yaşamak,İpek Ongun,7.6,"['Edebiyat', 'Gençlik']",,2197,207,113.75,113.95,5.0,95.0,527,310,2012,2005,Artemis Yayınları,,,,
"Dün, Bugün, Yarın ve Sonsuza Kadar",Zeynep Sahra,7.8,"['Roman', 'Edebiyat']",,2196,614,145.0,,2.0,98.0,762,448,2019,2019,Ren Kitap,,,,
Kırmızı Kurabiye,Zeynep Sahra,8.3,"['Roman', 'Aşk', 'Edebiyat']",,2195,598,145.0,,1.5999999999999943,98.4,1034,608,2021,0,Ren Kitap,Derya Sevim,,,
Kağnı - Ses,Sabahattin Ali,7.9,"['Edebiyat', 'Hikaye (Öykü)']",,2196,408,25.0,9.9,34.3,65.7,272,160,2019,0,Venedik Yayınları,,,,
Hıdır Kişisel Gelişiyor,Ahmet Şerif İzgören,8.1,['Kişisel Gelişim'],,2193,438,90.3,87.66,44.9,55.1,287,169,2006,0,Elma Yayınevi,,,,
Kara Kedi,Edgar Allan Poe,7.9,"['Edebiyat', 'Hikaye (Öykü)', 'Korku-Gerilim']",Bilge Ceren Şekerciler,2191,373,127.8,65.31,32.3,67.7,197,116,2012,2008,Kolektif Kitap,,,,
Son Şiirleri,Nazım Hikmet Ran,8.5,"['Edebiyat', 'Şiir']",,2191,424,188.5,174.2,43.3,56.7,326,192,2013,1970,Yapı Kredi Yayınları,,,,
Uçabileceğini Hayal Eden Tavuk,Sun-mi Hwang,8.4,"['Hikaye (Öykü)', 'İnsan ve Toplum', 'Kişisel Gelişim']",Pınar Savaş,2191,515,56.0,54.65,11.5,88.5,163,96,2020,2000,Genç Timaş,,,,
