,Kitap Adı,Yazar,Puan,Türler,Datamix,Satici,Fiyat,MaxOkurCinsiyet,MaxOkurYüzde,Çevirmen
0,['Beynine Format At'],['M. Barış Muslu'],"['7/10', '2.059', '401']",['Kişisel Gelişim'],"['Tahmini Okuma Süresi: 7 sa. 8 dk.', 'Sayfa Sayısı: 252', 'Basım Tarihi: 2013', 'Yayınevi: Doğan Kitap']","['Bkmkitap', 'Kitapyurdu']","['₺147,42', '₺132,31']",['Kadın'],['% 73.1'],['Yazar: \nM. Barış Muslu']
1,['Yaralarım Aşktandır'],['Furuğ Ferruhzad'],"['8.4/10', '2.059', '560']","['Edebiyat', ',', 'Şiir']","['Tahmini Okuma Süresi: 7 sa. 29 dk.', 'Sayfa Sayısı: 264', 'Basım Tarihi: Mart 2017', 'İlk Yayın Tarihi: 2002', 'Yayınevi: Totem Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺287,00', '₺295,20']",['Kadın'],['% 71.0'],"['Yazar: \nFuruğ Ferruhzad', 'Çevirmen: \nHaşim Hüsrevşahi']"
2,['Pabucumun Ajanı 1'],['Asude'],"['7.4/10', '2.058', '433']","['Aşk', ',', 'Edebiyat', ',', 'Gençlik', ',', 'Roman']","['Tahmini Okuma Süresi: 14 sa. 3 dk.', 'Sayfa Sayısı: 496', 'Basım Tarihi: Mart 2014', 'Yayınevi: Ephesus Yayınları']",['Bkmkitap'],"['₺13,89']",['Kadın'],['% 98.0'],['Yazar: \nAsude']
3,"[""Akra'da Bulunan Elyazması""]",['Paulo Coelho'],"['7.9/10', '2.058', '457']","['Edebiyat', ',', 'Felsefe-Düşünce', ',', 'Roman', ',', 'Tarih']","['Tahmini Okuma Süresi: 4 sa. 18 dk.', 'Sayfa Sayısı: 152', 'Basım Tarihi: Eylül 2012', 'İlk Yayın Tarihi: 2012', 'Yayınevi: Can Yayınları', 'Orijinal Adı: El manuscrito encontrado en Accra']","['Bkmkitap', 'Kitapyurdu']","['₺27,60', '₺24,84']",['Kadın'],['% 70.2'],"['Yazar: \nPaulo Coelho', 'Çevirmen: \nEmrah İmre']"
4,['Kafkas Tutsağı'],['Lev Tolstoy'],"['7.4/10', '2.057', '345']","['Hikaye (Öykü)', ',', 'Dünya Klasikleri', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 4 sa. 49 dk.', 'Sayfa Sayısı: 170', 'Basım Tarihi: 20 Şubat 2019', 'İlk Yayın Tarihi: 1872', 'Yayınevi: Türkiye İş Bankası Kültür Yayınları', 'Orijinal Adı: Rusça: Кавказский пленник [Kavkazskii plennik]']","['Bkmkitap', 'Kitapyurdu']","['₺48,10', '₺30,88']",['Erkek'],['% 55.0'],"['Yazar: \nLev Tolstoy', 'Çevirmen: \nMazlum Beyhan']"
5,['Martıya Uçmayı Öğreten Kedi'],['Luis Sepulveda'],"['8.8/10', '2.047', '514']","['Çocuk', ',', 'Edebiyat', ',', 'Hikaye (Öykü)']","['Tahmini Okuma Süresi: 3 sa. 31 dk.', 'Sayfa Sayısı: 124', 'Basım Tarihi: Kasım 2020', 'Yayınevi: Can Çocuk Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺116,25', '₺66,71']",['Kadın'],['% 75.4'],"['Yazar: \nLuis Sepulveda', 'Çevirmen: \nSaadet Özen', 'Çizer: \nMustafa Delioğlu', 'Tasarımcı: \nGözde Bitir']"
6,['Safir Mavi'],['Kerstin Gier'],"['8.5/10', '2.047', '454']","['Aşk', ',', 'Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 10 sa. 17 dk.', 'Sayfa Sayısı: 363', 'Basım Tarihi: Ağustos 2016', 'İlk Yayın Tarihi: 5 Ocak 2010', 'Yayınevi: Pegasus Yayınları', 'Orijinal Adı: Saphirblau - Liebe Geht Durch Alle Zeiten']","['Bkmkitap', 'Kitapyurdu']","['₺219,45', '₺259,35']",['Kadın'],['% 97.0'],"['Yazar: \nKerstin Gier', 'Çevirmen: \nFiruzan Gürbüz']"
7,['Zor Bir Ailede Büyümek'],['Craig Buck'],"['8.6/10', '2.044', '618']","['İnsan ve Toplum', ',', 'Psikoloji', ',', 'Sağlık-Tıp']","['Tahmini Okuma Süresi: 9 sa. 16 dk.', 'Sayfa Sayısı: 327', 'Basım Tarihi: Eylül 2018', 'Yayınevi: İletişim Yayınevi', 'Orijinal Adı: Toxic Parents: Overcoming Their Hurtful Legacy and Reclaiming Your Life']","['Bkmkitap', 'Kitapyurdu']","['₺205,60', '₺183,93']",['Kadın'],['% 82.7'],"['Yazar: \nCraig Buck', 'Yazar: \nSusan Forward', 'Çevirmen: \nAhu Terzi', 'Editör: \nCeren Kınık', 'Tasarımcı: \nSuat Aysu']"
8,['Bırak ve Rahatla'],['Adem Güneş'],"['7.8/10', '2.042', '502']","['Eğitim', ',', 'Psikoloji']","['Tahmini Okuma Süresi: 8 sa. 10 dk.', 'Sayfa Sayısı: 288', 'Basım Tarihi: 2019', 'Yayınevi: Timaş Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺140,00', '₺143,00']",['Kadın'],['% 85.2'],['Yazar: \nAdem Güneş']
9,['Kızıl Yükseliş'],['Pierce Brown'],"['8.7/10', '2.041', '696']","['Roman', ',', 'Fantastik', ',', 'Edebiyat', ',', 'Gençlik']","['Tahmini Okuma Süresi: 12 sa. 42 dk.', 'Sayfa Sayısı: 448', 'Basım Tarihi: Nisan 2015', 'İlk Yayın Tarihi: Ocak 2014', 'Yayınevi: Pegasus Yayınları', 'Orijinal Adı: Red Rising, Red Rising Saga #1']","['Bkmkitap', 'Kitapyurdu']","['₺275,00', '₺300,00']",['Kadın'],['% 79.8'],"['Yazar: \nPierce Brown', 'Çevirmen: \nSelim Yeniçeri']"
