,Kitap Adı,Yazar,Puan,Türler,Datamix,Satici,Fiyat,MaxOkurCinsiyet,MaxOkurYüzde,Çevirmen
10,['Aşk-ı Sükun'],['Nuriye Çeleğen'],"['9/10', '2.038', '588']","['Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 6 sa. 7 dk.', 'Sayfa Sayısı: 216', 'Basım Tarihi: Ağustos 2016', 'İlk Yayın Tarihi: Kasım 2012', 'Yayınevi: Timaş Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺119,00', '₺121,55']",['Kadın'],['% 88.5'],['Yazar: \nNuriye Çeleğen']
11,['Mavi Gözyaşı'],['Ahmed Günbay Yıldız'],"['8.2/10', '2.037', '344']","['Roman', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 7 sa. 56 dk.', 'Sayfa Sayısı: 280', 'Basım Tarihi: Ocak 2021', 'İlk Yayın Tarihi: 2000', 'Yayınevi: Timaş Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺157,50', '₺157,60']",['Kadın'],['% 77.1'],['Yazar: \nAhmed Günbay Yıldız']
12,['Atatürk'],['Lord Kinross'],"['9.1/10', '2.037', '743']","['Biyografi', ',', 'Tarih']","['Tahmini Okuma Süresi: 16 sa. 46 dk.', 'Sayfa Sayısı: 592', 'Basım Tarihi: Aralık 1994', 'İlk Yayın Tarihi: 1966', 'Yayınevi: Altın Kitaplar', 'Orijinal Adı: The Rebirth Of A Nation']","['Bkmkitap', 'Kitapyurdu']","['₺350,35', '₺277,10']",['Erkek'],['% 67.0'],"['Yazar: \nLord Kinross', 'Çevirmen: \nNecdet Sander']"
13,"[""Allah'a Emanet Ol""]",['Kahraman Tazeoğlu'],"['8/10', '2.037', '438']","['Aşk', ',', 'Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 3 sa. 51 dk.', 'Sayfa Sayısı: 136', 'Basım Tarihi: Haziran 2016', 'Yayınevi: Destek Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺11,40', '₺59,95']",['Kadın'],['% 76.2'],['Yazar: \nKahraman Tazeoğlu']
14,['Gerçek Tıp'],['Aidin Salih'],"['9/10', '2.035', '1.007']",['Sağlık-Tıp'],"['Tahmini Okuma Süresi: 12 sa. 20 dk.', 'Sayfa Sayısı: 435', 'Basım Tarihi: Ağustos 2015', 'İlk Yayın Tarihi: Haziran 2010', 'Yayınevi: Sade Hayat Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺192,50', '₺195,00']",['Kadın'],['% 72.4'],['Yazar: \nAidin Salih']
15,"[""Hades'in Evi""]",['Rick Riordan'],"['9.2/10', '2.034', '411']","['Roman', ',', 'Fantastik', ',', 'Edebiyat', ',', 'Gençlik', ',', 'Mitolojiler']","['Tahmini Okuma Süresi: 16 sa. 16 dk.', 'Sayfa Sayısı: 574', 'Basım Tarihi: Ekim 2018', 'İlk Yayın Tarihi: Ekim 2013', 'Yayınevi: Doğan Egmont', 'Orijinal Adı: The House Of Hades (The Heroes of Olympus #4)']","['Bkmkitap', 'Kitapyurdu']","['₺260,00', '₺214,99']",['Kadın'],['% 70.6'],"['Yazar: \nRick Riordan', 'Çevirmen: \nBelgin Selen Haktanır']"
16,['En Mavi Göz'],['Toni Morrison'],"['8/10', '2.034', '500']","['Roman', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 6 sa. 21 dk.', 'Sayfa Sayısı: 224', 'Basım Tarihi: 7 Ağustos 2018', 'İlk Yayın Tarihi: 1970', 'Yayınevi: Sel Yayınları', 'Orijinal Adı: The Bluest Eye']","['Bkmkitap', 'Kitapyurdu']","['₺132,00', '₺133,10']",['Kadın'],['% 81.9'],"['Yazar: \nToni Morrison', 'Çevirmen: \nZeynep Baransel']"
17,['Tuhaf Bir Kadın'],['Leyla Erbil'],"['7.4/10', '2.033', '387']","['Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 5 sa. 20 dk.', 'Sayfa Sayısı: 188', 'Basım Tarihi: Ağustos 2011', 'İlk Yayın Tarihi: 1971', 'Yayınevi: İş Bankası Kültür Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺34,00', '₺11,00']",['Kadın'],['% 78.6'],['Yazar: \nLeyla Erbil']
18,['Siyam - Kış Güneşi'],['Beyza Aksoy'],"['8.9/10', '2.033', '462']","['Roman', ',', 'Aşk', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 14 sa. 3 dk.', 'Sayfa Sayısı: 496', 'Basım Tarihi: Ekim 2022', 'Yayınevi: Epsilon Yayınevi']","['Bkmkitap', 'Kitapyurdu']","['₺177,00', '₺195,94']",['Kadın'],['% 97.1'],"['Yazar: \nBeyza Aksoy', 'Editör: \nÖzlem Kalabalıkoğlu']"
19,['Kerbela'],['Sinan Yağmur'],"['8.5/10', '2.029', '494']","['Aşk', ',', 'Din (İslam)']","['Tahmini Okuma Süresi: 6 sa. 34 dk.', 'Sayfa Sayısı: 232', 'Basım Tarihi: Temmuz 2012', 'Yayınevi: Profil Yayıncılık']","['Bkmkitap', 'Kitapyurdu']","['₺83,85', '₺100,62']",['Kadın'],['% 70.3'],['Yazar: \nSinan Yağmur']
20,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
21,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
22,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
23,['Sabah Namazına Nasıl Kalkılır'],['Cemil Tokpınar'],"['8.2/10', '2.029', '347']",['Din (İslam)'],"['Tahmini Okuma Süresi: 3 sa. 44 dk.', 'Sayfa Sayısı: 132', 'Basım Tarihi: Temmuz 2002', 'Yayınevi: Nesil Yayınları']",[],[],['Kadın'],['% 71.5'],['Yazar: \nCemil Tokpınar']
24,['Geç Kalan'],['Tarık Tufan'],"['7.8/10', '2.028', '407']","['Roman', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 4 sa. 5 dk.', 'Sayfa Sayısı: 144', 'Basım Tarihi: 18 Ekim 2021', 'Yayınevi: Doğan Kitap']","['Bkmkitap', 'Kitapyurdu']","['₺93,60', '₺79,38']",['Kadın'],['% 79.8'],['Yazar: \nTarık Tufan']
25,['Muz Sesleri'],['Ece Temelkuran'],"['7.2/10', '2.026', '334']","['Roman', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 9 sa. 4 dk.', 'Sayfa Sayısı: 320', 'Basım Tarihi: Mart 2021', 'Yayınevi: Can Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺78,00', '₺82,80']",['Kadın'],['% 81.0'],['Yazar: \nEce Temelkuran']
26,['Henüz 17 Yaşında'],['Ahmet Mithat Efendi'],"['8.1/10', '2.025', '375']","['Edebiyat', ',', 'Roman', ',', 'Türk Klasikleri']","['Tahmini Okuma Süresi: 6 sa. 41 dk.', 'Sayfa Sayısı: 236', 'Basım Tarihi: Şubat 2020', 'İlk Yayın Tarihi: 1881', 'Yayınevi: Türkiye İş Bankası Kültür Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺42,90', '₺31,78']",['Kadın'],['% 78.7'],['Yazar: \nAhmet Mithat Efendi']
27,['Pürdikkat'],['Cal Newport'],"['8.2/10', '2.025', '527']","['Araştırma-İnceleme', ',', 'Psikoloji']","['Tahmini Okuma Süresi: 6 sa. 21 dk.', 'Sayfa Sayısı: 224', 'Basım Tarihi: Kasım 2019', 'Yayınevi: Metropolis Yayınevi', 'Orijinal Adı: Deep Work: Rules for Focused Success in a Distracted World']","['Bkmkitap', 'Kitapyurdu']","['₺76,50', '₺135,20']",['Erkek'],['% 50.8'],"['Yazar: \nCal Newport', 'Çevirmen: \nOnur Öztürk', 'Tasarımcı: \nBeste Doğan']"
28,['Çaylak ile Filozof'],['Özkan Öze (Tarık Uslu)'],"['9.1/10', '2.022', '569']","['Çocuk', ',', 'Edebiyat', ',', 'Hikaye (Öykü)']","['Tahmini Okuma Süresi: 3 sa. 38 dk.', 'Sayfa Sayısı: 128', 'Basım Tarihi: Temmuz 2018', 'Yayınevi: Uğurböceği Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺84,00', '₺69,30']",['Kadın'],['% 87.5'],"['Yazar: \nÖzkan Öze (Tarık Uslu)', 'Çizer: \nNurcan Karabağ Yılmaz']"
29,"[""Cthulhu'nun Çağrısı""]",['H. P. Lovecraft'],"['7.9/10', '2.021', '457']","['Edebiyat', ',', 'Fantastik', ',', 'Korku-Gerilim', ',', 'Roman']","['Tahmini Okuma Süresi: 4 sa. 32 dk.', 'Sayfa Sayısı: 160', 'Basım Tarihi: Ağustos 2018', 'İlk Yayın Tarihi: 1928', 'Yayınevi: İthaki Yayınları', 'Orijinal Adı: Call of Cthulhu, 1926']","['Bkmkitap', 'Kitapyurdu']","['₺72,00', '₺90,00']",['Erkek'],['% 54.4'],"['Yazar: \nH. P. Lovecraft', 'Çevirmen: \nDost Körpe']"
30,['Ye Dua Et Sev'],['Elizabeth Gilbert'],"['6.8/10', '2.020', '271']","['Aşk', ',', 'Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 12 sa. 55 dk.', 'Sayfa Sayısı: 456', 'Basım Tarihi: 1 Ekim 2010', 'İlk Yayın Tarihi: 1 Şubat 2007', 'Yayınevi: Pegasus Yayınlar', 'Orijinal Adı: Eat ,pray,love']","['Bkmkitap', 'Kitapyurdu']","['₺82,50', '₺179,40']",['Kadın'],['% 91.0'],"['Yazar: \nElizabeth Gilbert', 'Çevirmen: \nGamze Bulut', 'Çevirmen: \nZeynep Ece']"
31,['Ölüm Korkusunu Yenmek'],['Irvin D. Yalom'],"['7.8/10', '2.020', '404']","['Felsefe-Düşünce', ',', 'Psikoloji', ',', 'Anı-Mektup-Günlük']","['Tahmini Okuma Süresi: 1 sa. 35 dk.', 'Sayfa Sayısı: 56', 'Basım Tarihi: Mayıs 2009', 'Yayınevi: Kabalcı Yayınevi', 'Orijinal Adı: I’m Calling the Police']","['Bkmkitap', 'Kitapyurdu']","['₺98,45', '₺97,00']",['Kadın'],['% 69.9'],"['Yazar: \nIrvin D. Yalom', 'Çevirmen: \nZeliha Babayiğit']"
32,['Şeytankaya Tılsımı'],['Ahmet Mithat Efendi'],"['7.5/10', '2.018', '412']","['Roman', ',', 'Edebiyat', ',', 'Türk Klasikleri']","['Tahmini Okuma Süresi: 1 sa. 39 dk.', 'Sayfa Sayısı: 58', 'Basım Tarihi: Ekim 2023', 'İlk Yayın Tarihi: 1889', 'Yayınevi: Türkiye İş Bankası Kültür Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺27,30', '₺21,70']",['Kadın'],['% 71.9'],['Yazar: \nAhmet Mithat Efendi']
33,['Boş Dolaplar'],['Annie Ernaux'],"['7.7/10', '2.018', '328']","['Roman', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 4 sa. 46 dk.', 'Sayfa Sayısı: 168', 'Basım Tarihi: Eylül 2022', 'İlk Yayın Tarihi: 1974', 'Yayınevi: Can Yayınları', 'Orijinal Adı: Les Armoires vides']","['Bkmkitap', 'Kitapyurdu']","['₺113,75', '₺78,20']",['Kadın'],['% 86.8'],"['Yazar: \nAnnie Ernaux', 'Çevirmen: \nSiren İdemen']"
34,['Bir Sırrım Var'],['Tess Gerritsen'],"['8.6/10', '2.015', '517']","['Edebiyat', ',', 'Korku-Gerilim', ',', 'Roman']","['Tahmini Okuma Süresi: 8 sa. 50 dk.', 'Sayfa Sayısı: 312', 'Basım Tarihi: Nisan 2018', 'İlk Yayın Tarihi: 2018', 'Yayınevi: Doğan Kitap', 'Orijinal Adı: I Know A Secret (Rizzoli & Isles 12)']","['Bkmkitap', 'Kitapyurdu']","['₺175,50', '₺148,84']",['Kadın'],['% 76.6'],"['Yazar: \nTess Gerritsen', 'Çevirmen: \nAlgan Sezgintüredi']"
35,['Sen Şimdi Gidecen ya Cehennemin Dibine Git'],['Erdal Demirkıran'],"['7.3/10', '2.015', '291']","['İnsan ve Toplum', ',', 'Kişisel Gelişim']","['Tahmini Okuma Süresi: 10 sa. 53 dk.', 'Sayfa Sayısı: 384', 'Basım Tarihi: 12 Nisan 2017', 'İlk Yayın Tarihi: 2010', 'Yayınevi: Kashna Kitap Ağacı']",[],[],['Kadın'],['% 68.4'],['Yazar: \nErdal Demirkıran']
36,['Ardında Bıraktığın Kadın'],['Jojo Moyes'],"['8.4/10', '2.014', '482']","['Aşk', ',', 'Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 14 sa. 30 dk.', 'Sayfa Sayısı: 512', 'Basım Tarihi: Temmuz 2014', 'Yayınevi: Pegasus Yayınları']",['Kitapyurdu'],"['₺27,49']",['Kadın'],['% 93.4'],"['Yazar: \nJojo Moyes', 'Çevirmen: \nSolina Silahlı']"
37,['Coşkuyla Ölmek'],['Şule Gürbüz'],"['8.3/10', '2.014', '491']","['Hikaye (Öykü)', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 5 sa. 25 dk.', 'Sayfa Sayısı: 191', 'Basım Tarihi: Ocak 2021', 'İlk Yayın Tarihi: Nisan 2013', 'Yayınevi: İletişim Yayınevi']","['Bkmkitap', 'Kitapyurdu']","['₺124,80', '₺113,77']",['Kadın'],['% 68.5'],['Yazar: \nŞule Gürbüz']
38,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
39,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
40,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
41,['Fikrimin İnce Gülü'],['Adalet Ağaoğlu'],"['7.8/10', '2.012', '478']","['Roman', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 8 sa. 50 dk.', 'Sayfa Sayısı: 312', 'Basım Tarihi: Ağustos 2021', 'İlk Yayın Tarihi: 1976', 'Yayınevi: Everest Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺39,00', '₺56,88']",['Kadın'],['% 72.6'],['Yazar: \nAdalet Ağaoğlu']
42,"['Fantastik Canavarlar Nelerdir, Nerede Bulunurlar?']",['J. K. Rowling (Robert Galbraith)'],"['8.2/10', '2.009', '348']","['Roman', ',', 'Fantastik', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 1 sa. 11 dk.', 'Sayfa Sayısı: 42', 'Basım Tarihi: 2001', 'Yayınevi: Yapı Kredi Yayınları', 'Orijinal Adı: Fantastic Beasts and Where to Find Them']",[],[],['Kadın'],['% 71.8'],"['Yazar: \nJ. K. Rowling (Robert Galbraith)', 'Yazar: \nNewt Scamander', 'Çevirmen: \nSevin Okyay', 'Çevirmen: \nGül Sarıoğlu']"
43,['Gayet Ciddiyim'],['Gülse Birsel'],"['7.5/10', '2.008', '288']",['Eğlence-Mizah'],"['Tahmini Okuma Süresi: 8 sa. 50 dk.', 'Sayfa Sayısı: 312', 'Basım Tarihi: 1 Aralık 2009', 'İlk Yayın Tarihi: Aralık 2009', 'Yayınevi: Epsilon Yayınları']",[],[],['Kadın'],['% 77.7'],['Yazar: \nGülse Birsel']
44,['Ramses - Işığın Oğlu'],['Christian Jacq'],"['8.4/10', '2.009', '408']","['Edebiyat', ',', 'Roman', ',', 'Tarih']","['Tahmini Okuma Süresi: 9 sa. 55 dk.', 'Sayfa Sayısı: 350', 'Basım Tarihi: Mayıs 1998', 'Yayınevi: Remzi Kitabevi', 'Orijinal Adı: Le fils de la lumière, (Ramsès #1)']",[],[],['Kadın'],['% 64.4'],"['Yazar: \nChristian Jacq', 'Çevirmen: \nAli Rıza Yalt']"
45,['Hayatım'],['Anton Çehov'],"['7.9/10', '2.009', '405']","['Hikaye (Öykü)', ',', 'Dünya Klasikleri', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 3 sa. 24 dk.', 'Sayfa Sayısı: 120', 'Basım Tarihi: 2 Temmuz 2019', 'Yayınevi: Türkiye İş Bankası Kültür Yayınları', 'Orijinal Adı: Моя жизнь [Moya zhizn]']","['Bkmkitap', 'Kitapyurdu']","['₺39,00', '₺24,80']",['Kadın'],['% 60.8'],"['Yazar: \nAnton Çehov', 'Çevirmen: \nYulva Muhurçişi']"
46,['Âşıklara Yer Yok'],['Tarık Tufan'],"['8.8/10', '2.009', '488']","['Roman', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 8 sa. 50 dk.', 'Sayfa Sayısı: 312', 'Basım Tarihi: 21 Ocak 2023', 'Yayınevi: Doğan Kitap']","['Bkmkitap', 'Kitapyurdu']","['₺152,10', '₺129,19']",['Kadın'],['% 81.9'],['Yazar: \nTarık Tufan']
47,['Harfler ve Notalar'],['Hasan Ali Toptaş'],"['8.5/10', '2.005', '542']","['Deneme-İnceleme', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 4 sa. 46 dk.', 'Sayfa Sayısı: 168', 'Basım Tarihi: 2016', 'İlk Yayın Tarihi: Ekim 2007', 'Yayınevi: Everest Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺50,05', '₺82,80']",['Kadın'],['% 66.3'],['Yazar: \nHasan Ali Toptaş']
48,['Alışkanlıkların Gücü'],['Charles Duhigg'],"['8.3/10', '2.005', '635']","['Araştırma-İnceleme', ',', 'Kişisel Gelişim', ',', 'Ekonomi-Emek-İş Dünyası', ',', 'İnsan ve Toplum']","['Tahmini Okuma Süresi: 12 sa. 14 dk.', 'Sayfa Sayısı: 432', 'Basım Tarihi: Haziran 2018', 'İlk Yayın Tarihi: Şubat 2012', 'Yayınevi: Boyner Holding Yayınları', 'Orijinal Adı: The Power of Habit: Why We Do What We Do in Life and Business']","['Bkmkitap', 'Kitapyurdu']","['₺261,80', '₺249,90']",['Erkek'],['% 52.7'],"['Yazar: \nCharles Duhigg', 'Çevirmen: \nHandan Balkara']"
49,['Biraz Yağmur Kimseyi İncitmez'],['Kemal Sayar'],"['8.4/10', '2.006', '529']","['Psikoloji', ',', 'Edebiyat', ',', 'Deneme-İnceleme']","['Tahmini Okuma Süresi: 8 sa. 10 dk.', 'Sayfa Sayısı: 288', 'Basım Tarihi: Şubat 2022', 'İlk Yayın Tarihi: Ekim 2012', 'Yayınevi: Timaş Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺108,50', '₺140,20']",['Kadın'],['% 78.8'],"['Yazar: \nKemal Sayar', 'Editör: \nFahrünnisa Erdem']"
50,['Hazreti Hatice'],['Nurdan Damla'],"['9.1/10', '2.005', '536']","['Biyografi', ',', 'Roman', ',', 'Din (İslam)', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 11 sa. 6 dk.', 'Sayfa Sayısı: 392', 'Basım Tarihi: Haziran 2017', 'Yayınevi: Hayat Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺214,50', '₺190,58']",['Kadın'],['% 91.1'],['Yazar: \nNurdan Damla']
51,['Kıskançlık'],['Marcel Proust'],"['7.2/10', '2.006', '314']","['Anlatı', ',', 'Hikaye (Öykü)']","['Tahmini Okuma Süresi: 2 sa. 2 dk.', 'Sayfa Sayısı: 72', 'Basım Tarihi: 1 Ekim 2020', 'İlk Yayın Tarihi: 8 Haziran 2017', 'Yayınevi: Can Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺52,00', '₺44,95']",['Kadın'],['% 77.0'],"['Yazar: \nMarcel Proust', 'Çevirmen: \nEbru Erbaş']"
52,['Barla Lahikası'],['Bediüzzaman Said Nursî'],"['9.6/10', '2.004', '488']",['Din (İslam)'],"['Tahmini Okuma Süresi: 11 sa. 6 dk.', 'Sayfa Sayısı: 392', 'Basım Tarihi: Mayıs 2005', 'Yayınevi: Söz Neşriyat']","['Bkmkitap', 'Kitapyurdu']","['₺214,40', '₺208,00']",['Kadın'],['% 51.6'],['Yazar: \nBediüzzaman Said Nursî']
53,['Gerçek Mucize Kendine İnanmaktır'],['Ethem Emin Nemutlu'],"['8.1/10', '2.004', '486']","['Edebiyat', ',', 'Kişisel Gelişim']","['Tahmini Okuma Süresi: 4 sa. 59 dk.', 'Sayfa Sayısı: 176', 'Basım Tarihi: 2019', 'Yayınevi: Olimpos Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺88,00', '₺84,00']",['Kadın'],['% 82.2'],['Yazar: \nEthem Emin Nemutlu']
54,['Her Gün'],['David Levithan'],"['7.8/10', '2.003', '391']","['Aşk', ',', 'Edebiyat', ',', 'Fantastik', ',', 'Gençlik', ',', 'Roman']","['Tahmini Okuma Süresi: 9 sa. 31 dk.', 'Sayfa Sayısı: 336', 'Basım Tarihi: Temmuz 2015', 'İlk Yayın Tarihi: 2 Eylül 2013', 'Yayınevi: Pegasus Yayınları', 'Orijinal Adı: Every Day (Every Day #1)']","['Bkmkitap', 'Kitapyurdu']","['₺197,45', '₺188,48']",['Kadın'],['% 92.5'],"['Yazar: \nDavid Levithan', 'Çevirmen: \nDerya İmer Aydınlık']"
55,['Persepolis'],['Marjane Satrapi'],"['8.8/10', '2.002', '548']","['Anı-Mektup-Günlük', ',', 'Biyografi', ',', 'Çizgi-Roman', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 9 sa. 58 dk.', 'Sayfa Sayısı: 352', 'Basım Tarihi: 2017', 'İlk Yayın Tarihi: Haziran 2004', 'Yayınevi: Panama Yayıncılık', 'Orijinal Adı: Persepolis (Persepolis #1-4)']","['Bkmkitap', 'Kitapyurdu']","['₺188,50', '₺188,50']",['Kadın'],['% 81.0'],"['Yazar: \nMarjane Satrapi', 'Çevirmen: \nElif Çelik']"
56,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
57,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
58,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
