,Kitap Adı,Yazar,Puan,Türler,Datamix,Satici,Fiyat,MaxOkurCinsiyet,MaxOkurYüzde,Çevirmen
1901,['Dar Kapı'],['André Gide'],"['7.7/10', '3.050', '581']","['Roman', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 4 sa. 32 dk.', 'Sayfa Sayısı: 160', 'Basım Tarihi: 30 Nisan 2021', 'İlk Yayın Tarihi: 1909', 'Yayınevi: Timaş Yayınları', 'Orijinal Adı: La Porte Etroite']","['Bkmkitap', 'Kitapyurdu']","['₺66,50', '₺66,50']",['Kadın'],['% 67.1'],"['Yazar: \nAndré Gide', 'Çevirmen: \nBuket Yılmaz']"
1902,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
1903,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
1904,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
1905,['İsyan Günlerinde Aşk'],['Ahmet Altan'],"['8.3/10', '3.049', '550']","['Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 14 sa. 17 dk.', 'Sayfa Sayısı: 504', 'Basım Tarihi: Ekim 2017', 'İlk Yayın Tarihi: 16 Mayıs 2001', 'Yayınevi: Everest Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺117,00', '₺117,20']",['Kadın'],['% 69.1'],['Yazar: \nAhmet Altan']
1906,['Değirmenimden Mektuplar'],['Alphonse Daudet'],"['7.1/10', '3.039', '488']","['Dünya Klasikleri', ',', 'Edebiyat', ',', 'Hikaye (Öykü)']","['Tahmini Okuma Süresi: 6 sa. 34 dk.', 'Sayfa Sayısı: 232', 'Basım Tarihi: Temmuz 2017', 'İlk Yayın Tarihi: 1869', 'Yayınevi: Türkiye İş Bankası Kültür Yayınları', 'Orijinal Adı: Les Lettres De Mon Moulin']","['Bkmkitap', 'Kitapyurdu']","['₺8,40', '₺5,16']",['Kadın'],['% 64.5'],"['Yazar: \nAlphonse Daudet', 'Çevirmen: \nSabri Esat Siyavuşgil']"
1907,['Uzakların Şarkısı'],['Kaan Murat Yanık'],"['9.1/10', '3.037', '1.045']","['Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 11 sa. 20 dk.', 'Sayfa Sayısı: 400', 'Basım Tarihi: Kasım 2017', 'Yayınevi: Everest Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺55,25', '₺61,20']",['Kadın'],['% 82.4'],['Yazar: \nKaan Murat Yanık']
1908,['Yaban Kazı'],['Ogai Mori'],"['7/10', '3.033', '455']","['Hikaye (Öykü)', ',', 'Dünya Klasikleri', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 4 sa. 5 dk.', 'Sayfa Sayısı: 144', 'Basım Tarihi: Kasım 2021', 'İlk Yayın Tarihi: Eylül 1911', 'Yayınevi: İthaki Yayınları', 'Orijinal Adı: Gan']","['Bkmkitap', 'Kitapyurdu']","['₺54,00', '₺64,80']",['Kadın'],['% 80.9'],"['Yazar: \nOgai Mori', 'Çevirmen: \nAlper Kaan Bilir']"
1909,['Etkili İnsanların 7 Alışkanlığı'],['Stephen R. Covey'],"['8.3/10', '3.033', '911']","['Ekonomi-Emek-İş Dünyası', ',', 'İnsan ve Toplum', ',', 'Kişisel Gelişim']","['Tahmini Okuma Süresi: 11 sa. 57 dk.', 'Sayfa Sayısı: 422', 'Basım Tarihi: 14 Kasım 2017', 'İlk Yayın Tarihi: Kasım 2004', 'Yayınevi: Varlık Yayınları', 'Orijinal Adı: 7 Habits of Highly Effective People']","['Bkmkitap', 'Kitapyurdu']","['₺24,60', '₺34,80']",['Kadın'],['% 53.5'],"['Yazar: \nStephen R. Covey', 'Çevirmen: \nOsman Deniztekin', 'Çevirmen: \nFiliz Deniztekin']"
1910,['Saklı Seçilmişler'],['Soner Yalçın'],"['8.6/10', '3.033', '983']","['Araştırma-İnceleme', ',', 'Siyaset-Politika']","['Tahmini Okuma Süresi: 14 sa. 17 dk.', 'Sayfa Sayısı: 504', 'Basım Tarihi: Ocak 2018', 'Yayınevi: Kırmızı Kedi']","['Bkmkitap', 'Kitapyurdu']","['₺196,00', '₺194,80']",['Erkek'],['% 63.2'],['Yazar: \nSoner Yalçın']
